model_key,category,question,composed_question,expected_answer,predicted_answer,retrieved_sources,generation_time_s,curso,codigo,error
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,3.43,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Tiene el curso requisitos previos?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1003-Seguridad y Criptografía.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC3010-Cibercrimen.txt,0.96,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Es un curso electivo?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,"No.

**Paso a paso:**

1. **Identificar el curso en cuestión:** Análisis de Datos en Ciberseguridad, código MC1001.
2. **Revisar la sección ""Electivo o no"" en su documento:** En el documento de MC1001, se menciona que el curso es ""No"" en la sección ""Electivo o no"".
3. **Concluir basado en la información proporcionada:** Por lo tanto, el curso no es electivo.

Respuesta: No.",MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt,5.46,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de ganar el curso por suficiencia?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de ganar el curso por suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,0.96,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,No,MC1003-Seguridad y Criptografía.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC1001-Análisis de datos en ciberseguridad.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt,0.93,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Los laboratorios representan el 75% de la nota final?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Los laboratorios representan el 75% de la nota final?

Responde únicamente con 'Sí' o 'No'.",Sí,"No.

**Paso a paso:**

1. **Revisar el contexto proporcionado para el curso MC1001-Análisis de datos en ciberseguridad.**
2. **Buscar la sección de evaluación para determinar cómo se compone la nota final.**
3. **Encontrar que los componentes de evaluación mencionados son: tareas (50%), laboratorios (no se menciona un porcentaje específico) y un examen final.**
4. **No hay información suficiente para confirmar que los laboratorios representen el 75% de la nota final.**
5. **Por lo tanto, la respuesta es 'No' debido a la falta de información específica.**
</think>

No.",MC1003-Seguridad y Criptografía.txt;MC3010-Cibercrimen.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,4.89,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.99,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,¿Es este un curso electivo?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,"No.

Respuesta: No.",MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,1.1,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,¿Tiene correquisitos establecidos?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Tiene correquisitos establecidos?

Responde únicamente con 'Sí' o 'No'.",No,No,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC1001-Análisis de datos en ciberseguridad.txt,0.95,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,"¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?","En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1006-Políticas y Gobernanza en Ciberseguridad.txt;MC1003-Seguridad y Criptografía.txt;MC3001-Seguridad de Software Avanzado.txt;MC3010-Cibercrimen.txt,0.97,Seguridad y Criptografía,MC1003,
