model_key,category,question,composed_question,expected_answer,predicted_answer,generation_time_s,curso,codigo,error
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.84,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Tiene el curso requisitos previos?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Tiene el curso requisitos previos?

Responde únicamente con 'Sí' o 'No'.",No,No,8.74,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Es un curso electivo?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,8.82,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de ganar el curso por suficiencia?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de ganar el curso por suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,8.84,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Es posible el reconocimiento del curso?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es posible el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,8.9,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Los laboratorios representan el 75% de la nota final?,"En el curso Análisis de Datos en Ciberseguridad de la Maestría en Ciberseguridad, ¿Los laboratorios representan el 75% de la nota final?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,8.98,Análisis de Datos en Ciberseguridad,MC1001,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.09,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,¿Es este un curso electivo?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este un curso electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,9.19,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,¿Tiene correquisitos establecidos?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Tiene correquisitos establecidos?

Responde únicamente con 'Sí' o 'No'.",No,No,9.25,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,"¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?","En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Es este curso requisito para ""Blockchain y Ledger Distribuidos""?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.21,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,¿Se permite el reconocimiento del curso?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿Se permite el reconocimiento del curso?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.14,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,¿El examen final tiene un valor del 30%?,"En el curso Seguridad y Criptografía de la Maestría en Ciberseguridad, ¿El examen final tiene un valor del 30%?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.05,Seguridad y Criptografía,MC1003,
deepseek-r1-14b-4bit,binary,¿Es el curso de tipo electivo?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es el curso de tipo electivo?

Responde únicamente con 'Sí' o 'No'.",No,No,9.04,Políticas y Gobernanza en Ciberseguridad,MC1006,
deepseek-r1-14b-4bit,binary,¿Es la asistencia obligatoria?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Es la asistencia obligatoria?

Responde únicamente con 'Sí' o 'No'.",Sí,Sí,9.1,Políticas y Gobernanza en Ciberseguridad,MC1006,
deepseek-r1-14b-4bit,binary,¿Se permite el reconocimiento de este curso?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Se permite el reconocimiento de este curso?

Responde únicamente con 'Sí' o 'No'.",No,No,9.06,Políticas y Gobernanza en Ciberseguridad,MC1006,
deepseek-r1-14b-4bit,binary,¿Existe la posibilidad de suficiencia?,"En el curso Políticas y Gobernanza en Ciberseguridad de la Maestría en Ciberseguridad, ¿Existe la posibilidad de suficiencia?

Responde únicamente con 'Sí' o 'No'.",Sí,No,9.14,Políticas y Gobernanza en Ciberseguridad,MC1006,
